Reclassified,Media Channel Off/On (copy),Media Channel (copy 2),Campaign (copy),Week Start,Date,Value
Trading,Online,Affiliate,Wearables,Mondays,03/04/2017,6
Trading,Online,Affiliate,handsetspayg,Mondays,16/01/2017,37
Trading,Online,Affiliate,handsetspayg,Mondays,23/01/2017,259
Trading,Online,Affiliate,handsetspayg,Mondays,30/01/2017,263
Trading,Online,Affiliate,handsetspayg,Mondays,06/02/2017,266
Trading,Online,Affiliate,handsetspayg,Mondays,13/02/2017,132
Trading,Online,Affiliate,handsetspayg,Mondays,20/02/2017,94
Trading,Online,Affiliate,handsetspayg,Mondays,27/02/2017,179
Trading,Online,Affiliate,handsetspayg,Mondays,06/03/2017,319
Trading,Online,Affiliate,handsetspayg,Mondays,13/03/2017,249
Trading,Online,Affiliate,handsetspayg,Mondays,20/03/2017,192
Trading,Online,Affiliate,handsetspayg,Mondays,27/03/2017,237
Trading,Online,Affiliate,handsetspayg,Mondays,03/04/2017,342
Trading,Online,Affiliate,handsetspaym,Mondays,16/01/2017,1770
Trading,Online,Affiliate,handsetspaym,Mondays,23/01/2017,14144
Trading,Online,Affiliate,handsetspaym,Mondays,30/01/2017,23789
Trading,Online,Affiliate,handsetspaym,Mondays,06/02/2017,17523
Trading,Online,Affiliate,handsetspaym,Mondays,13/02/2017,10551
Trading,Online,Affiliate,handsetspaym,Mondays,20/02/2017,6427
Trading,Online,Affiliate,handsetspaym,Mondays,27/02/2017,16061
Trading,Online,Affiliate,handsetspaym,Mondays,06/03/2017,2132
Trading,Online,Affiliate,handsetspaym,Mondays,13/03/2017,3084
Trading,Online,Affiliate,handsetspaym,Mondays,20/03/2017,5616
Trading,Online,Affiliate,handsetspaym,Mondays,27/03/2017,12447
Trading,Online,Affiliate,handsetspaym,Mondays,03/04/2017,7290
Trading,Online,Affiliate,mbbpockethotspot,Mondays,16/01/2017,1
Trading,Online,Affiliate,mbbpockethotspot,Mondays,23/01/2017,14
Trading,Online,Affiliate,mbbpockethotspot,Mondays,30/01/2017,50
Trading,Online,Affiliate,mbbpockethotspot,Mondays,06/02/2017,15
Trading,Online,Affiliate,mbbpockethotspot,Mondays,13/02/2017,20
Trading,Online,Affiliate,mbbpockethotspot,Mondays,20/02/2017,16
Trading,Online,Affiliate,mbbpockethotspot,Mondays,27/02/2017,27
Trading,Online,Affiliate,mbbpockethotspot,Mondays,06/03/2017,19
Trading,Online,Affiliate,mbbpockethotspot,Mondays,13/03/2017,16
Trading,Online,Affiliate,mbbpockethotspot,Mondays,20/03/2017,67
Trading,Online,Affiliate,mbbpockethotspot,Mondays,27/03/2017,43
Trading,Online,Affiliate,mbbpockethotspot,Mondays,03/04/2017,6
Trading,Online,Affiliate,simpayg,Mondays,16/01/2017,250
Trading,Online,Affiliate,simpayg,Mondays,23/01/2017,1714
Trading,Online,Affiliate,simpayg,Mondays,30/01/2017,1494
Trading,Online,Affiliate,simpayg,Mondays,06/02/2017,1480
Trading,Online,Affiliate,simpayg,Mondays,13/02/2017,1893
Trading,Online,Affiliate,simpayg,Mondays,20/02/2017,3934
Trading,Online,Affiliate,simpayg,Mondays,27/02/2017,3281
Trading,Online,Affiliate,simpayg,Mondays,06/03/2017,2077
Trading,Online,Affiliate,simpayg,Mondays,13/03/2017,1700
Trading,Online,Affiliate,simpayg,Mondays,20/03/2017,1492
Trading,Online,Affiliate,simpayg,Mondays,27/03/2017,1295
Trading,Online,Affiliate,simpayg,Mondays,03/04/2017,1146
Trading,Online,Affiliate,simpaym,Mondays,16/01/2017,537
Trading,Online,Affiliate,simpaym,Mondays,23/01/2017,3870
Trading,Online,Affiliate,simpaym,Mondays,30/01/2017,4415
Trading,Online,Affiliate,simpaym,Mondays,06/02/2017,4010
Trading,Online,Affiliate,simpaym,Mondays,13/02/2017,5896
Trading,Online,Affiliate,simpaym,Mondays,20/02/2017,6401
Trading,Online,Affiliate,simpaym,Mondays,27/02/2017,10597
Trading,Online,Affiliate,simpaym,Mondays,06/03/2017,8600
Trading,Online,Affiliate,simpaym,Mondays,13/03/2017,8918
Trading,Online,Affiliate,simpaym,Mondays,20/03/2017,20836
Trading,Online,Affiliate,simpaym,Mondays,27/03/2017,4580
Trading,Online,Affiliate,simpaym,Mondays,03/04/2017,3576
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,30/01/2017,3
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,06/02/2017,5
